endpoint_node_name,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
System Administrator Terminal,,,,,1,1,,,,,,,,,
Virtualization Manager Server,1,1,,1,,,,,,,,,,,
Virtualization Manager SAN Archive,,,,,,,1,1,,,,,,,
Cybersecurity Capability & Tools Server,,,,,1,1,,,,,,,,,
Cybersecurity Capability & Tools SAN Archive,,,,,1,1,,,,,,,,,
Cybersecurity Capability & Tools SAN Archive Backup,,,,,1,1,,,,,,,,,
Audit Log Server,,,,,1,1,,,,,,,,,
Audit Log SAN Archive,,,,,1,1,,,,,,,,,
"Server Rack, Server #1 (SR1)",1,,1,,,,,,,,,,,,
"Server Rack, Server #2 (SR2)",1,1,,,,,,,,,,,,,
"Server Rack, Server #3 (SR3)",,,,,,,1,,,,,,,,
"Server Rack, Server #4 (SR4)",,,,1,,,,1,1,,,,,,
"Server Rack, Server #5 (SR5)",,,,,,,,1,,,,,,,
"Server Rack, Server #6 (SR6)",,,,,,,,,,1,,,1,,
"Server Rack, Server #7 (SR7)",,,,,,,,,,,,1,,1,
"Server Rack, Server #8 (SR8)",,,,,,,,,,,,,,,1
"Server Rack, Server #9 (SR9)",,,,1,,,,,1,,,1,,,
"Server Rack, Server #10 (SR10)",,,,,,,1,,,,,,,,
"Server Rack, Server #11 (SR11)",,1,,,,,,,,,,,,,
"Server Rack, Server #12 (SR12)",,,,,,,,,,1,,,,,
Engineering & Production SAN 1,1,1,1,,,,,,,,,,,,
Engineering & Production SAN Archive 1,1,1,1,,,,,,,,,,,,
Engineering & Production SAN Archive 1 Backup,,,,,,,1,,,,,,,,
Engineering & Production SAN 2,1,1,1,,,,,,,,,,,,
Engineering & Production SAN Archive 2,1,1,1,,,,,,,,,,,,
Engineering & Production SAN Archive 2 Backup,,,,,,,1,,,,,,,,
Engineering & Production SAN 3,,,,,,,1,,,,,,,,
Test SAN,,,,1,,,,1,1,,,,,,
Test SAN Archive,,,,1,,,,1,1,,,,,,
Test SAN Archive Backup,,,,,,,,1,,,,,,,
Company Management SAN,,,,,,,,,,1,,,1,1,1
Company Management SAN Archive,,,,,,,,,,1,,,1,1,1
Company Management SAN Archive Backup,,,,,,,,,,1,,,1,1,1
Engineering & Production (Workstation 1),1,1,,,,,,,,,,,,,
Engineering & Production (Workstation 2),,,1,,,,,,,,,,,,
Engineering & Production (Workstation 3),,1,,,,,1,,,,,,,,
Engineering & Production (Workstation 4),,,,,,,1,,,,1,,,,
Test Engineering (Laptop 1),,,,1,,,,,,,,,,,
Test Engineering (Laptop 2),,,,,,,,1,1,,,,,,
Company Management (Workstation 5),,,,,,,,,,1,,,1,1,1
Company Management (Workstation 6),,,,,,,,,,,,,1,,
